loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1187                                              min=   64  p50=   64  p95=  103  avg=   67  max=  103  (us, n=20)
1188                                              min=   63  p50=   63  p95=  168  avg=   69  max=  168  (us, n=20)
1189                                              min=   64  p50=   64  p95=   80  avg=   66  max=   80  (us, n=20)
1190                                              min=   69  p50=   69  p95=   83  avg=   71  max=   83  (us, n=20)
1191                                              min=   64  p50=   64  p95=   90  avg=   67  max=   90  (us, n=20)
1192                                              min=   65  p50=   66  p95=   69  avg=   65  max=   69  (us, n=20)
11941                                             min=  141  p50=  142  p95=  143  avg=  141  max=  143  (us, n=20)
11942                                             min=  141  p50=  142  p95=  157  avg=  142  max=  157  (us, n=20)
11943                                             min=  141  p50=  142  p95=  145  avg=  142  max=  145  (us, n=20)
11944                                             min=  141  p50=  141  p95=  146  avg=  141  max=  146  (us, n=20)
11945                                             min=  141  p50=  141  p95=  146  avg=  141  max=  146  (us, n=20)
11946                                             min=  141  p50=  142  p95=  146  avg=  142  max=  146  (us, n=20)
11947                                             min=  141  p50=  141  p95=  143  avg=  141  max=  143  (us, n=20)
11948                                             min=  141  p50=  141  p95=  228  avg=  150  max=  228  (us, n=20)
11949                                             min=  140  p50=  144  p95=  318  avg=  161  max=  318  (us, n=20)
1195                                              min=   69  p50=   69  p95=   75  avg=   69  max=   75  (us, n=20)
11950                                             min=  141  p50=  142  p95=  146  avg=  142  max=  146  (us, n=20)
11951                                             min=  141  p50=  142  p95=  150  avg=  142  max=  150  (us, n=20)
11952                                             min=  141  p50=  142  p95=  147  avg=  142  max=  147  (us, n=20)
11954                                             min=13099  p50=13652  p95=14856  avg=13759  max=14856  (us, n=20)
11955                                             min=12888  p50=13805  p95=15453  avg=13763  max=15453  (us, n=20)
11956                                             min=12884  p50=13418  p95=14820  avg=13509  max=14820  (us, n=20)
11957                                             min=12971  p50=14321  p95=20461  avg=15203  max=20461  (us, n=20)
11958                                             min=14541  p50=16234  p95=20424  avg=16309  max=20424  (us, n=20)
11959                                             min=13349  p50=15825  p95=18538  avg=15816  max=18538  (us, n=20)
1196                                              min=   93  p50=  100  p95=  112  avg=  100  max=  112  (us, n=20)
11960                                             min=14486  p50=15500  p95=20323  avg=15852  max=20323  (us, n=20)
11961                                             min=13565  p50=15468  p95=20100  avg=15910  max=20100  (us, n=20)
1197                                              min=   73  p50=   73  p95=   99  avg=   75  max=   99  (us, n=20)
1198                                              min=   79  p50=  109  p95=  122  avg=  106  max=  122  (us, n=20)
1199                                              min=   71  p50=   72  p95=   82  avg=   72  max=   82  (us, n=20)
1200                                              min=   73  p50=   78  p95=  102  avg=   80  max=  102  (us, n=20)
1201                                              min=   79  p50=   82  p95=  114  avg=   85  max=  114  (us, n=20)
1202                                              min=   66  p50=   67  p95=  100  avg=   71  max=  100  (us, n=20)
1203                                              min=   84  p50=   91  p95=  135  avg=   97  max=  135  (us, n=20)
1204                                              min=   62  p50=   63  p95=  111  avg=   69  max=  111  (us, n=20)
1205                                              min=   79  p50=   79  p95=  112  avg=   82  max=  112  (us, n=20)
1206                                              min=   74  p50=   81  p95=  204  avg=   90  max=  204  (us, n=20)
1207                                              min=   69  p50=   86  p95=   99  avg=   86  max=   99  (us, n=20)
1208                                              min=   76  p50=   80  p95=  111  avg=   85  max=  111  (us, n=20)
1209                                              min=   96  p50=  105  p95=  115  avg=  103  max=  115  (us, n=20)
1210                                              min=   75  p50=   86  p95=  119  avg=   88  max=  119  (us, n=20)
1211                                              min=   66  p50=   67  p95=   95  avg=   70  max=   95  (us, n=20)
1212                                              min=   70  p50=   71  p95=   85  avg=   73  max=   85  (us, n=20)
1213                                              min=   78  p50=  109  p95=  140  avg=  103  max=  140  (us, n=20)
1214                                              min=   78  p50=   79  p95=  116  avg=   83  max=  116  (us, n=20)
1215                                              min=   70  p50=   88  p95=  223  avg=   99  max=  223  (us, n=20)
1216                                              min=   89  p50=   97  p95=  112  avg=   97  max=  112  (us, n=20)
1217                                              min=   93  p50=   97  p95=  112  avg=  100  max=  112  (us, n=20)
1218                                              min=  104  p50=  108  p95=  137  avg=  110  max=  137  (us, n=20)
1219                                              min=  100  p50=  110  p95=  116  avg=  108  max=  116  (us, n=20)
1220                                              min=   96  p50=  106  p95=  115  avg=  105  max=  115  (us, n=20)
1221                                              min=  104  p50=  111  p95=  124  avg=  110  max=  124  (us, n=20)
1222                                              min=  107  p50=  109  p95=  123  avg=  111  max=  123  (us, n=20)
1223                                              min=   74  p50=  114  p95=  126  avg=  109  max=  126  (us, n=20)
1224                                              min=   78  p50=   78  p95=   91  avg=   79  max=   91  (us, n=20)
1225                                              min=   68  p50=   69  p95=   85  avg=   70  max=   85  (us, n=20)
1226                                              min=   75  p50=  101  p95=  158  avg=  100  max=  158  (us, n=20)
1227                                              min=  106  p50=  113  p95=  120  avg=  112  max=  120  (us, n=20)
1228                                              min=   63  p50=   92  p95=  114  avg=   90  max=  114  (us, n=20)
1229                                              min=   77  p50=   82  p95=  134  avg=   92  max=  134  (us, n=20)
1230                                              min=   79  p50=  122  p95=  184  avg=  122  max=  184  (us, n=20)
1231                                              min=   78  p50=   81  p95=  124  avg=   90  max=  124  (us, n=20)
1232                                              min=  104  p50=  117  p95=  129  avg=  114  max=  129  (us, n=20)
1233                                              min=   76  p50=   76  p95=  103  avg=   79  max=  103  (us, n=20)
1234                                              min=   75  p50=   77  p95=  134  avg=   86  max=  134  (us, n=20)
1235                                              min=   73  p50=   74  p95=   87  avg=   75  max=   87  (us, n=20)
1236                                              min=   84  p50=   84  p95=  112  avg=   87  max=  112  (us, n=20)
1237                                              min=   71  p50=   90  p95=  110  avg=   88  max=  110  (us, n=20)
1238                                              min=   75  p50=   76  p95=  129  avg=   85  max=  129  (us, n=20)
1239                                              min=   79  p50=   86  p95=  141  avg=   98  max=  141  (us, n=20)
1240                                              min=   70  p50=   78  p95=  123  avg=   82  max=  123  (us, n=20)
1241                                              min=   79  p50=  122  p95=  125  avg=  106  max=  125  (us, n=20)
1242                                              min=   77  p50=   77  p95=  262  avg=   92  max=  262  (us, n=20)
1243                                              min=   70  p50=   70  p95=   77  avg=   71  max=   77  (us, n=20)
1244                                              min=   79  p50=   81  p95=  123  avg=   87  max=  123  (us, n=20)
1245                                              min=   78  p50=  103  p95=  131  avg=   97  max=  131  (us, n=20)
1246                                              min=   77  p50=   77  p95=  118  avg=   87  max=  118  (us, n=20)
1247                                              min=   81  p50=   82  p95=  110  avg=   85  max=  110  (us, n=20)
1248                                              min=   79  p50=   79  p95=   84  avg=   79  max=   84  (us, n=20)
13226                                             min=  152  p50=  178  p95=  246  avg=  176  max=  246  (us, n=20)
13227                                             min=  152  p50=  158  p95=  229  avg=  172  max=  229  (us, n=20)
13228                                             min=  152  p50=  153  p95=  210  avg=  159  max=  210  (us, n=20)
13229                                             min=  152  p50=  157  p95=  242  avg=  175  max=  242  (us, n=20)
13230                                             min=  152  p50=  226  p95=  249  avg=  219  max=  249  (us, n=20)
13231                                             min=  220  p50=  226  p95=  265  avg=  230  max=  265  (us, n=20)
13232                                             min=  153  p50=  154  p95=  218  avg=  166  max=  218  (us, n=20)
13233                                             min=  153  p50=  155  p95=  242  avg=  168  max=  242  (us, n=20)
13234                                             min=  153  p50=  154  p95=  458  avg=  195  max=  458  (us, n=20)
13235                                             min=  152  p50=  166  p95=  245  avg=  174  max=  245  (us, n=20)
13236                                             min=  217  p50=  226  p95=  271  avg=  228  max=  271  (us, n=20)
13237                                             min=  152  p50=  219  p95=  401  avg=  207  max=  401  (us, n=20)
1356                                              min=   87  p50=   88  p95=   97  avg=   89  max=   97  (us, n=20)
1357                                              min=   66  p50=  106  p95=  152  avg=  101  max=  152  (us, n=20)
1358                                              min=   73  p50=   74  p95=  104  avg=   77  max=  104  (us, n=20)
1360                                              min=   70  p50=   70  p95=   85  avg=   73  max=   85  (us, n=20)
14336                                             min=  150  p50=  163  p95=  294  avg=  182  max=  294  (us, n=20)
14337                                             min=  149  p50=  165  p95=  504  avg=  201  max=  504  (us, n=20)
14338                                             min=  149  p50=  152  p95=  203  avg=  160  max=  203  (us, n=20)
14339                                             min=  148  p50=  153  p95=  222  avg=  165  max=  222  (us, n=20)
14340                                             min=  148  p50=  158  p95=  237  avg=  167  max=  237  (us, n=20)
14341                                             min=  148  p50=  155  p95=  226  avg=  164  max=  226  (us, n=20)
14342                                             min=  147  p50=  149  p95=  220  avg=  163  max=  220  (us, n=20)
14343                                             min=  148  p50=  209  p95=  262  avg=  202  max=  262  (us, n=20)
14344                                             min=  147  p50=  148  p95=  204  avg=  156  max=  204  (us, n=20)
14345                                             min=  148  p50=  150  p95=  345  avg=  170  max=  345  (us, n=20)
149                                               min=  783  p50=  857  p95= 1006  avg=  851  max= 1006  (us, n=20)
150                                               min=  835  p50=  950  p95= 1318  avg= 1013  max= 1318  (us, n=20)
15360                                             min=  144  p50=  149  p95=  211  avg=  159  max=  211  (us, n=20)
15361                                             min=  147  p50=  164  p95=  318  avg=  188  max=  318  (us, n=20)
15362                                             min=  148  p50=  149  p95=  229  avg=  160  max=  229  (us, n=20)
15363                                             min=  147  p50=  150  p95=  227  avg=  161  max=  227  (us, n=20)
15364                                             min=  148  p50=  189  p95=  444  avg=  199  max=  444  (us, n=20)
