loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
15366                                             min=  177  p50=  222  p95=  260  avg=  220  max=  260  (us, n=20)
15367                                             min=  145  p50=  211  p95=  270  avg=  203  max=  270  (us, n=20)
15368                                             min=  146  p50=  186  p95=  250  avg=  187  max=  250  (us, n=20)
15369                                             min=  151  p50=  248  p95=  275  avg=  229  max=  275  (us, n=20)
156                                               min= 1164  p50= 1567  p95= 1999  avg= 1527  max= 1999  (us, n=20)
1621                                              min=   76  p50=  107  p95=  159  avg=  104  max=  159  (us, n=20)
16468                                             min=  147  p50=  182  p95=  238  avg=  190  max=  238  (us, n=20)
16469                                             min=  147  p50=  181  p95=  224  avg=  176  max=  224  (us, n=20)
16470                                             min=  146  p50=  160  p95=  206  avg=  164  max=  206  (us, n=20)
16471                                             min=  147  p50=  178  p95=  226  avg=  177  max=  226  (us, n=20)
16472                                             min=  147  p50=  163  p95=  272  avg=  188  max=  272  (us, n=20)
16473                                             min=  148  p50=  155  p95=  267  avg=  173  max=  267  (us, n=20)
16474                                             min=  211  p50=  220  p95=  238  avg=  222  max=  238  (us, n=20)
16475                                             min=  147  p50=  148  p95=  440  avg=  196  max=  440  (us, n=20)
16476                                             min=  151  p50=  239  p95=  460  avg=  245  max=  460  (us, n=20)
16477                                             min=  221  p50=  262  p95=  396  avg=  256  max=  396  (us, n=20)
16478                                             min=  151  p50=  187  p95=  291  avg=  198  max=  291  (us, n=20)
16479                                             min=  144  p50=  151  p95=  214  avg=  162  max=  214  (us, n=20)
1648                                              min=   60  p50=   61  p95=   65  avg=   60  max=   65  (us, n=20)
1659                                              min=   76  p50=   78  p95=  177  avg=   92  max=  177  (us, n=20)
1664                                              min=   75  p50=   90  p95=  122  avg=   89  max=  122  (us, n=20)
1690                                              min=   79  p50=  119  p95=  160  avg=  125  max=  160  (us, n=20)
1693                                              min=   66  p50=   67  p95=   94  avg=   68  max=   94  (us, n=20)
17326                                             min=  146  p50=  208  p95=  227  avg=  189  max=  227  (us, n=20)
17327                                             min=  146  p50=  148  p95=  231  avg=  159  max=  231  (us, n=20)
17328                                             min=  145  p50=  149  p95=  203  avg=  156  max=  203  (us, n=20)
17329                                             min=  145  p50=  148  p95=  223  avg=  162  max=  223  (us, n=20)
17330                                             min=  145  p50=  157  p95=  364  avg=  192  max=  364  (us, n=20)
17331                                             min=  144  p50=  147  p95=  203  avg=  153  max=  203  (us, n=20)
17332                                             min=  145  p50=  147  p95=  196  avg=  152  max=  196  (us, n=20)
17333                                             min=  145  p50=  148  p95=  242  avg=  157  max=  242  (us, n=20)
17334                                             min=  197  p50=  218  p95=  249  avg=  216  max=  249  (us, n=20)
17335                                             min=  146  p50=  155  p95=  270  avg=  183  max=  270  (us, n=20)
