loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
271                                               min= 6799  p50= 8308  p95= 9493  avg= 8048  max= 9493  (us, n=20)
272                                               min= 1569  p50= 2082  p95= 3308  avg= 2093  max= 3308  (us, n=20)
273                                               min= 1455  p50= 2195  p95= 2932  avg= 2128  max= 2932  (us, n=20)
274                                               min= 6370  p50= 7488  p95= 8775  avg= 7478  max= 8775  (us, n=20)
275                                               min= 6717  p50= 7508  p95= 8597  avg= 7515  max= 8597  (us, n=20)
276                                               min= 6983  p50= 7700  p95= 8894  avg= 7770  max= 8894  (us, n=20)
278                                               min= 2817  p50= 3605  p95= 5036  avg= 3793  max= 5036  (us, n=20)
27877                                             min=  674  p50= 1005  p95= 1524  avg=  980  max= 1524  (us, n=20)
27878                                             min= 7547  p50= 8613  p95=10557  avg= 8733  max=10557  (us, n=20)
27879                                             min= 1162  p50= 1741  p95= 2162  avg= 1683  max= 2162  (us, n=20)
27880                                             min=  679  p50=  982  p95= 1393  avg=  964  max= 1393  (us, n=20)
27881                                             min= 1614  p50= 2146  p95= 3082  avg= 2184  max= 3082  (us, n=20)
27882                                             min= 2033  p50= 2575  p95= 3326  avg= 2565  max= 3326  (us, n=20)
27901                                             min= 4562  p50= 5631  p95= 6835  avg= 5679  max= 6835  (us, n=20)
27902                                             min= 2499  p50= 3020  p95= 3901  avg= 3057  max= 3901  (us, n=20)
27907                                             min= 5582  p50= 6535  p95= 8489  avg= 6670  max= 8489  (us, n=20)
28                                                min=  823  p50= 1109  p95= 1581  avg= 1105  max= 1581  (us, n=20)
282                                               min=36683  p50=40703  p95=49668  avg=41178  max=49668  (us, n=20)
283                                               min=38074  p50=42853  p95=48365  avg=42596  max=48365  (us, n=20)
284                                               min=33861  p50=40181  p95=48677  avg=39838  max=48677  (us, n=20)
285                                               min=32848  p50=34626  p95=38035  avg=34566  max=38035  (us, n=20)
2854                                              min=12432  p50=13558  p95=15479  avg=13587  max=15479  (us, n=20)
2855                                              min=12737  p50=13706  p95=14686  avg=13685  max=14686  (us, n=20)
2856                                              min=13283  p50=13886  p95=16508  avg=13976  max=16508  (us, n=20)
2857                                              min=12800  p50=14330  p95=15689  avg=14263  max=15689  (us, n=20)
2858                                              min=12895  p50=13561  p95=15235  avg=13801  max=15235  (us, n=20)
2859                                              min=12465  p50=13744  p95=14927  avg=13694  max=14927  (us, n=20)
287                                               min= 1245  p50= 1422  p95= 1734  avg= 1440  max= 1734  (us, n=20)
288                                               min= 1238  p50= 1322  p95= 1892  avg= 1367  max= 1892  (us, n=20)
289                                               min=32302  p50=34107  p95=39847  avg=34564  max=39847  (us, n=20)
29                                                min=  808  p50=  857  p95= 1179  avg=  921  max= 1179  (us, n=20)
290                                               min= 1202  p50= 1210  p95= 1847  avg= 1265  max= 1847  (us, n=20)
292                                               min=32431  p50=34666  p95=38639  avg=34429  max=38639  (us, n=20)
29270                                             min= 1338  p50= 1356  p95= 1430  avg= 1360  max= 1430  (us, n=20)
293                                               min=33765  p50=35869  p95=42835  avg=36758  max=42835  (us, n=20)
294                                               min=32961  p50=33665  p95=39811  avg=34336  max=39811  (us, n=20)
296                                               min= 1213  p50= 1226  p95= 1305  avg= 1231  max= 1305  (us, n=20)
297                                               min= 1226  p50= 1248  p95= 1462  avg= 1278  max= 1462  (us, n=20)
298                                               min=32488  p50=34744  p95=39739  avg=34864  max=39739  (us, n=20)
299                                               min= 1210  p50= 1219  p95= 1529  avg= 1238  max= 1529  (us, n=20)
3                                                 min=  408  p50=  410  p95=  415  avg=  410  max=  415  (us, n=20)
30                                                min=  337  p50=  339  p95=  357  avg=  340  max=  357  (us, n=20)
301                                               min=32565  p50=34325  p95=37906  avg=34529  max=37906  (us, n=20)
302                                               min=33372  p50=35504  p95=40546  avg=35756  max=40546  (us, n=20)
303                                               min=32997  p50=34345  p95=40234  avg=34831  max=40234  (us, n=20)
305                                               min= 1226  p50= 1235  p95= 1353  avg= 1249  max= 1353  (us, n=20)
306                                               min= 1211  p50= 1226  p95= 1317  avg= 1230  max= 1317  (us, n=20)
30658                                             min= 4249  p50= 4593  p95= 5418  avg= 4585  max= 5418  (us, n=20)
30662                                             min= 1104  p50= 1114  p95= 1249  avg= 1132  max= 1249  (us, n=20)
30666                                             min= 1093  p50= 1107  p95= 1247  avg= 1116  max= 1247  (us, n=20)
30669                                             min=88630  p50=93746  p95=103559  avg=95019  max=103559  (us, n=20)
30670                                             min=39969  p50=42120  p95=45337  avg=42180  max=45337  (us, n=20)
30671                                             min=33914  p50=36228  p95=39882  avg=36176  max=39882  (us, n=20)
30673                                             min= 4346  p50= 4620  p95= 5407  avg= 4692  max= 5407  (us, n=20)
30674                                             min= 4366  p50= 4512  p95= 6441  avg= 4696  max= 6441  (us, n=20)
30675                                             min= 3212  p50= 3383  p95= 3732  avg= 3416  max= 3732  (us, n=20)
30676                                             min= 3218  p50= 3408  p95= 4744  avg= 3491  max= 4744  (us, n=20)
30680                                             min= 3024  p50= 3137  p95= 3804  avg= 3249  max= 3804  (us, n=20)
30681                                             min= 2965  p50= 3306  p95= 3782  avg= 3325  max= 3782  (us, n=20)
30682                                             min=76673  p50=91836  p95=110884  avg=91403  max=110884  (us, n=20)
30683                                             min= 5385  p50= 6577  p95= 9470  avg= 6843  max= 9470  (us, n=20)
307                                               min=41024  p50=51781  p95=57601  avg=50401  max=57601  (us, n=20)
308                                               min= 1471  p50= 2178  p95= 2399  avg= 2060  max= 2399  (us, n=20)
31                                                min= 7013  p50= 9588  p95=11229  avg= 9452  max=11229  (us, n=20)
310                                               min=39754  p50=53417  p95=58425  avg=51298  max=58425  (us, n=20)
311                                               min=36449  p50=39823  p95=49117  avg=41051  max=49117  (us, n=20)
312                                               min=35722  p50=41500  p95=50497  avg=41677  max=50497  (us, n=20)
313                                               min= 1340  p50= 1867  p95= 2337  avg= 1751  max= 2337  (us, n=20)
314                                               min= 1317  p50= 1506  p95= 2272  avg= 1594  max= 2272  (us, n=20)
315                                               min=36234  p50=41308  p95=49476  avg=41295  max=49476  (us, n=20)
316                                               min= 1209  p50= 1362  p95= 2255  avg= 1496  max= 2255  (us, n=20)
318                                               min=37159  p50=41103  p95=47919  avg=41288  max=47919  (us, n=20)
319                                               min= 1263  p50= 1862  p95= 2604  avg= 1796  max= 2604  (us, n=20)
