loaded dump dir: .\src\Benchmark\RegressionCases\coverage  (803 samples)  iters=1

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
272                                               min= 7010  p50= 7010  p95= 7010  avg= 7010  max= 7010  (us, n=1)
273                                               min= 6514  p50= 6514  p95= 6514  avg= 6514  max= 6514  (us, n=1)
274                                               min= 5909  p50= 5909  p95= 5909  avg= 5909  max= 5909  (us, n=1)
275                                               min= 6834  p50= 6834  p95= 6834  avg= 6834  max= 6834  (us, n=1)
276                                               min= 6075  p50= 6075  p95= 6075  avg= 6075  max= 6075  (us, n=1)
278                                               min=12203  p50=12203  p95=12203  avg=12203  max=12203  (us, n=1)
27877                                             min=  662  p50=  662  p95=  662  avg=  662  max=  662  (us, n=1)
27878                                             min= 8813  p50= 8813  p95= 8813  avg= 8813  max= 8813  (us, n=1)
27879                                             min= 1145  p50= 1145  p95= 1145  avg= 1145  max= 1145  (us, n=1)
27880                                             min=  682  p50=  682  p95=  682  avg=  682  max=  682  (us, n=1)
27881                                             min= 1527  p50= 1527  p95= 1527  avg= 1527  max= 1527  (us, n=1)
27882                                             min= 1930  p50= 1930  p95= 1930  avg= 1930  max= 1930  (us, n=1)
27901                                             min= 4483  p50= 4483  p95= 4483  avg= 4483  max= 4483  (us, n=1)
27902                                             min= 2585  p50= 2585  p95= 2585  avg= 2585  max= 2585  (us, n=1)
27907                                             min= 5221  p50= 5221  p95= 5221  avg= 5221  max= 5221  (us, n=1)
28                                                min=  780  p50=  780  p95=  780  avg=  780  max=  780  (us, n=1)
282                                               min=31423  p50=31423  p95=31423  avg=31423  max=31423  (us, n=1)
283                                               min=32870  p50=32870  p95=32870  avg=32870  max=32870  (us, n=1)
284                                               min=30927  p50=30927  p95=30927  avg=30927  max=30927  (us, n=1)
285                                               min=34066  p50=34066  p95=34066  avg=34066  max=34066  (us, n=1)
2854                                              min=12673  p50=12673  p95=12673  avg=12673  max=12673  (us, n=1)
2855                                              min=13005  p50=13005  p95=13005  avg=13005  max=13005  (us, n=1)
2856                                              min=13139  p50=13139  p95=13139  avg=13139  max=13139  (us, n=1)
2857                                              min=12976  p50=12976  p95=12976  avg=12976  max=12976  (us, n=1)
2858                                              min=12645  p50=12645  p95=12645  avg=12645  max=12645  (us, n=1)
2859                                              min=12908  p50=12908  p95=12908  avg=12908  max=12908  (us, n=1)
287                                               min= 1321  p50= 1321  p95= 1321  avg= 1321  max= 1321  (us, n=1)
288                                               min= 1195  p50= 1195  p95= 1195  avg= 1195  max= 1195  (us, n=1)
289                                               min=31250  p50=31250  p95=31250  avg=31250  max=31250  (us, n=1)
29                                                min=  783  p50=  783  p95=  783  avg=  783  max=  783  (us, n=1)
290                                               min= 1169  p50= 1169  p95= 1169  avg= 1169  max= 1169  (us, n=1)
292                                               min=32126  p50=32126  p95=32126  avg=32126  max=32126  (us, n=1)
29270                                             min= 1342  p50= 1342  p95= 1342  avg= 1342  max= 1342  (us, n=1)
293                                               min=33018  p50=33018  p95=33018  avg=33018  max=33018  (us, n=1)
294                                               min=33401  p50=33401  p95=33401  avg=33401  max=33401  (us, n=1)
296                                               min= 1161  p50= 1161  p95= 1161  avg= 1161  max= 1161  (us, n=1)
297                                               min= 1160  p50= 1160  p95= 1160  avg= 1160  max= 1160  (us, n=1)
298                                               min=31598  p50=31598  p95=31598  avg=31598  max=31598  (us, n=1)
299                                               min= 1360  p50= 1360  p95= 1360  avg= 1360  max= 1360  (us, n=1)
3                                                 min=  397  p50=  397  p95=  397  avg=  397  max=  397  (us, n=1)
30                                                min=  322  p50=  322  p95=  322  avg=  322  max=  322  (us, n=1)
301                                               min=30591  p50=30591  p95=30591  avg=30591  max=30591  (us, n=1)
302                                               min=33536  p50=33536  p95=33536  avg=33536  max=33536  (us, n=1)
303                                               min=32856  p50=32856  p95=32856  avg=32856  max=32856  (us, n=1)
305                                               min= 1170  p50= 1170  p95= 1170  avg= 1170  max= 1170  (us, n=1)
306                                               min= 1173  p50= 1173  p95= 1173  avg= 1173  max= 1173  (us, n=1)
30658                                             min= 4219  p50= 4219  p95= 4219  avg= 4219  max= 4219  (us, n=1)
30662                                             min= 1076  p50= 1076  p95= 1076  avg= 1076  max= 1076  (us, n=1)
30666                                             min= 1165  p50= 1165  p95= 1165  avg= 1165  max= 1165  (us, n=1)
30669                                             min=141132  p50=141132  p95=141132  avg=141132  max=141132  (us, n=1)
30670                                             min=84330  p50=84330  p95=84330  avg=84330  max=84330  (us, n=1)
30671                                             min=37886  p50=37886  p95=37886  avg=37886  max=37886  (us, n=1)
30673                                             min= 4498  p50= 4498  p95= 4498  avg= 4498  max= 4498  (us, n=1)
30674                                             min= 4081  p50= 4081  p95= 4081  avg= 4081  max= 4081  (us, n=1)
30675                                             min= 2935  p50= 2935  p95= 2935  avg= 2935  max= 2935  (us, n=1)
30676                                             min= 2991  p50= 2991  p95= 2991  avg= 2991  max= 2991  (us, n=1)
30680                                             min= 2868  p50= 2868  p95= 2868  avg= 2868  max= 2868  (us, n=1)
30681                                             min= 2845  p50= 2845  p95= 2845  avg= 2845  max= 2845  (us, n=1)
30682                                             min=66656  p50=66656  p95=66656  avg=66656  max=66656  (us, n=1)
30683                                             min= 5051  p50= 5051  p95= 5051  avg= 5051  max= 5051  (us, n=1)
307                                               min=31995  p50=31995  p95=31995  avg=31995  max=31995  (us, n=1)
308                                               min= 1396  p50= 1396  p95= 1396  avg= 1396  max= 1396  (us, n=1)
31                                                min= 5396  p50= 5396  p95= 5396  avg= 5396  max= 5396  (us, n=1)
310                                               min=31761  p50=31761  p95=31761  avg=31761  max=31761  (us, n=1)
311                                               min=38851  p50=38851  p95=38851  avg=38851  max=38851  (us, n=1)
312                                               min=30942  p50=30942  p95=30942  avg=30942  max=30942  (us, n=1)
313                                               min= 1159  p50= 1159  p95= 1159  avg= 1159  max= 1159  (us, n=1)
314                                               min= 1179  p50= 1179  p95= 1179  avg= 1179  max= 1179  (us, n=1)
315                                               min=33411  p50=33411  p95=33411  avg=33411  max=33411  (us, n=1)
316                                               min= 1154  p50= 1154  p95= 1154  avg= 1154  max= 1154  (us, n=1)
318                                               min=32228  p50=32228  p95=32228  avg=32228  max=32228  (us, n=1)
319                                               min= 1252  p50= 1252  p95= 1252  avg= 1252  max= 1252  (us, n=1)
32                                                min= 5296  p50= 5296  p95= 5296  avg= 5296  max= 5296  (us, n=1)
321                                               min=35172  p50=35172  p95=35172  avg=35172  max=35172  (us, n=1)
322                                               min= 2157  p50= 2157  p95= 2157  avg= 2157  max= 2157  (us, n=1)
323                                               min= 2406  p50= 2406  p95= 2406  avg= 2406  max= 2406  (us, n=1)
324                                               min=  899  p50=  899  p95=  899  avg=  899  max=  899  (us, n=1)
325                                               min=  721  p50=  721  p95=  721  avg=  721  max=  721  (us, n=1)
326                                               min= 5425  p50= 5425  p95= 5425  avg= 5425  max= 5425  (us, n=1)
327                                               min= 5697  p50= 5697  p95= 5697  avg= 5697  max= 5697  (us, n=1)
328                                               min= 2163  p50= 2163  p95= 2163  avg= 2163  max= 2163  (us, n=1)
329                                               min= 2151  p50= 2151  p95= 2151  avg= 2151  max= 2151  (us, n=1)
33                                                min= 1102  p50= 1102  p95= 1102  avg= 1102  max= 1102  (us, n=1)
330                                               min=  889  p50=  889  p95=  889  avg=  889  max=  889  (us, n=1)
331                                               min= 2122  p50= 2122  p95= 2122  avg= 2122  max= 2122  (us, n=1)
332                                               min= 7375  p50= 7375  p95= 7375  avg= 7375  max= 7375  (us, n=1)
333                                               min= 5787  p50= 5787  p95= 5787  avg= 5787  max= 5787  (us, n=1)
334                                               min= 2111  p50= 2111  p95= 2111  avg= 2111  max= 2111  (us, n=1)
335                                               min= 2276  p50= 2276  p95= 2276  avg= 2276  max= 2276  (us, n=1)
336                                               min=  884  p50=  884  p95=  884  avg=  884  max=  884  (us, n=1)
337                                               min=  691  p50=  691  p95=  691  avg=  691  max=  691  (us, n=1)
338                                               min= 5734  p50= 5734  p95= 5734  avg= 5734  max= 5734  (us, n=1)
339                                               min= 2496  p50= 2496  p95= 2496  avg= 2496  max= 2496  (us, n=1)
34                                                min= 2199  p50= 2199  p95= 2199  avg= 2199  max= 2199  (us, n=1)
340                                               min= 2201  p50= 2201  p95= 2201  avg= 2201  max= 2201  (us, n=1)
343                                               min= 5462  p50= 5462  p95= 5462  avg= 5462  max= 5462  (us, n=1)
344                                               min= 2194  p50= 2194  p95= 2194  avg= 2194  max= 2194  (us, n=1)
348                                               min= 5102  p50= 5102  p95= 5102  avg= 5102  max= 5102  (us, n=1)
35                                                min= 5151  p50= 5151  p95= 5151  avg= 5151  max= 5151  (us, n=1)
350                                               min= 2984  p50= 2984  p95= 2984  avg= 2984  max= 2984  (us, n=1)
351                                               min= 2586  p50= 2586  p95= 2586  avg= 2586  max= 2586  (us, n=1)
352                                               min= 1230  p50= 1230  p95= 1230  avg= 1230  max= 1230  (us, n=1)
354                                               min= 8238  p50= 8238  p95= 8238  avg= 8238  max= 8238  (us, n=1)
