loaded dump dir: .\src\Benchmark\RegressionCases\perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1163                                              min=  694  p50=  799  p95=  940  avg=  805  max=  940  (us, n=20)
1164                                              min=  698  p50=  721  p95=  915  avg=  734  max=  915  (us, n=20)
1165                                              min=  641  p50=  712  p95=  778  avg=  713  max=  778  (us, n=20)
1166                                              min=  705  p50=  752  p95= 1008  avg=  757  max= 1008  (us, n=20)
1167                                              min=  625  p50=  743  p95= 1034  avg=  776  max= 1034  (us, n=20)
1168                                              min=  598  p50=  745  p95=  974  avg=  742  max=  974  (us, n=20)
1169                                              min=  446  p50=  722  p95= 1095  avg=  697  max= 1095  (us, n=20)
1170                                              min=  686  p50=  723  p95=  801  avg=  727  max=  801  (us, n=20)
1171                                              min=  689  p50=  739  p95=  998  avg=  765  max=  998  (us, n=20)
1172                                              min=  632  p50=  723  p95=  899  avg=  725  max=  899  (us, n=20)
1173                                              min=  679  p50=  703  p95=  820  avg=  716  max=  820  (us, n=20)
1174                                              min=  690  p50=  743  p95= 1006  avg=  769  max= 1006  (us, n=20)
1175                                              min=  690  p50=  734  p95=  813  avg=  740  max=  813  (us, n=20)
1176                                              min=  439  p50=  750  p95=  948  avg=  726  max=  948  (us, n=20)
1177                                              min=  679  p50=  733  p95=  927  avg=  752  max=  927  (us, n=20)
1178                                              min=  650  p50=  703  p95=  779  avg=  707  max=  779  (us, n=20)
1179                                              min=  688  p50=  728  p95=  910  avg=  734  max=  910  (us, n=20)
1180                                              min=  633  p50=  729  p95=  817  avg=  726  max=  817  (us, n=20)
1181                                              min=  616  p50=  737  p95= 1124  avg=  763  max= 1124  (us, n=20)
1182                                              min=  667  p50=  716  p95=  791  avg=  719  max=  791  (us, n=20)
1183                                              min=  687  p50=  788  p95= 1201  avg=  813  max= 1201  (us, n=20)
1184                                              min=  669  p50=  708  p95=  799  avg=  711  max=  799  (us, n=20)
1185                                              min=  620  p50=  735  p95=  934  avg=  732  max=  934  (us, n=20)
1186                                              min=  446  p50=  720  p95=  801  avg=  679  max=  801  (us, n=20)
1187                                              min=  635  p50=  722  p95=  767  avg=  718  max=  767  (us, n=20)
1188                                              min=  686  p50=  707  p95=  825  avg=  716  max=  825  (us, n=20)
1189                                              min=  681  p50=  727  p95=  790  avg=  726  max=  790  (us, n=20)
1190                                              min=  450  p50=  745  p95=  829  avg=  708  max=  829  (us, n=20)
1191                                              min=  685  p50=  716  p95=  785  avg=  715  max=  785  (us, n=20)
1192                                              min=  649  p50=  721  p95=  863  avg=  729  max=  863  (us, n=20)
11941                                             min=  179  p50=  184  p95=  188  avg=  183  max=  188  (us, n=20)
11942                                             min=  176  p50=  180  p95=  186  avg=  180  max=  186  (us, n=20)
11943                                             min=  169  p50=  173  p95=  179  avg=  172  max=  179  (us, n=20)
11944                                             min=  167  p50=  169  p95=  181  avg=  170  max=  181  (us, n=20)
11945                                             min=  164  p50=  169  p95=  189  avg=  169  max=  189  (us, n=20)
11946                                             min=  163  p50=  166  p95=  283  avg=  171  max=  283  (us, n=20)
11947                                             min=  161  p50=  166  p95=  205  avg=  172  max=  205  (us, n=20)
11948                                             min=  159  p50=  161  p95=  199  avg=  165  max=  199  (us, n=20)
