loaded dump dir: ../../../src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1146                                              min=   73  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1147                                              min=   73  p50=   73  p95=   80  avg=   74  max=   80  (us, n=20)
1148                                              min=   71  p50=   71  p95=   75  avg=   71  max=   75  (us, n=20)
1149                                              min=   71  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1150                                              min=   70  p50=   71  p95=   74  avg=   70  max=   74  (us, n=20)
1151                                              min=   68  p50=   68  p95=   71  avg=   68  max=   71  (us, n=20)
1152                                              min=   78  p50=   78  p95=   83  avg=   78  max=   83  (us, n=20)
1153                                              min=   67  p50=   67  p95=   72  avg=   67  max=   72  (us, n=20)
1154                                              min=   70  p50=   71  p95=   71  avg=   70  max=   71  (us, n=20)
1155                                              min=   74  p50=   74  p95=   80  avg=   75  max=   80  (us, n=20)
1156                                              min=   57  p50=   57  p95=   92  avg=   59  max=   92  (us, n=20)
1157                                              min=   74  p50=   74  p95=   78  avg=   74  max=   78  (us, n=20)
1158                                              min=   72  p50=   72  p95=   75  avg=   72  max=   75  (us, n=20)
1159                                              min=   65  p50=   65  p95=   72  avg=   65  max=   72  (us, n=20)
1160                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1161                                              min=   73  p50=   74  p95=   90  avg=   75  max=   90  (us, n=20)
1162                                              min=   72  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
1163                                              min=   75  p50=   76  p95=   80  avg=   76  max=   80  (us, n=20)
1164                                              min=   74  p50=   75  p95=  245  avg=  100  max=  245  (us, n=20)
1165                                              min=   74  p50=   74  p95=   78  avg=   74  max=   78  (us, n=20)
1166                                              min=   75  p50=   75  p95=   81  avg=   75  max=   81  (us, n=20)
1167                                              min=   74  p50=   74  p95=  147  avg=   80  max=  147  (us, n=20)
1168                                              min=   69  p50=   70  p95=   76  avg=   70  max=   76  (us, n=20)
1169                                              min=   76  p50=   77  p95=   85  avg=   77  max=   85  (us, n=20)
1170                                              min=   76  p50=   76  p95=   82  avg=   76  max=   82  (us, n=20)
1171                                              min=   71  p50=   72  p95=   78  avg=   72  max=   78  (us, n=20)
1172                                              min=   81  p50=   81  p95=   84  avg=   81  max=   84  (us, n=20)
1173                                              min=   76  p50=   76  p95=   82  avg=   76  max=   82  (us, n=20)
1174                                              min=   76  p50=   98  p95=  115  avg=   94  max=  115  (us, n=20)
1175                                              min=   70  p50=   71  p95=   74  avg=   71  max=   74  (us, n=20)
1176                                              min=   74  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1177                                              min=   71  p50=   72  p95=   77  avg=   72  max=   77  (us, n=20)
1178                                              min=   68  p50=   68  p95=   73  avg=   68  max=   73  (us, n=20)
1179                                              min=   70  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1180                                              min=   73  p50=   74  p95=   76  avg=   73  max=   76  (us, n=20)
1181                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1182                                              min=   70  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1183                                              min=   70  p50=   70  p95=   72  avg=   70  max=   72  (us, n=20)
1184                                              min=   77  p50=   77  p95=   80  avg=   77  max=   80  (us, n=20)
1185                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1186                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1187                                              min=   66  p50=   66  p95=   71  avg=   66  max=   71  (us, n=20)
1188                                              min=   65  p50=   66  p95=   80  avg=   67  max=   80  (us, n=20)
1189                                              min=   66  p50=   66  p95=   69  avg=   66  max=   69  (us, n=20)
1190                                              min=   71  p50=   71  p95=   73  avg=   71  max=   73  (us, n=20)
1191                                              min=   65  p50=   65  p95=   69  avg=   65  max=   69  (us, n=20)
1192                                              min=   67  p50=   67  p95=   72  avg=   67  max=   72  (us, n=20)
11941                                             min=  144  p50=  145  p95=  149  avg=  145  max=  149  (us, n=20)
11942                                             min=  144  p50=  144  p95=  180  avg=  147  max=  180  (us, n=20)
11943                                             min=  144  p50=  144  p95=  148  avg=  144  max=  148  (us, n=20)
11944                                             min=  143  p50=  144  p95=  146  avg=  143  max=  146  (us, n=20)
11945                                             min=  143  p50=  143  p95=  148  avg=  143  max=  148  (us, n=20)
11946                                             min=  143  p50=  143  p95=  156  avg=  145  max=  156  (us, n=20)
11947                                             min=  143  p50=  144  p95=  152  avg=  144  max=  152  (us, n=20)
11948                                             min=  143  p50=  144  p95=  148  avg=  144  max=  148  (us, n=20)
11949                                             min=  143  p50=  143  p95=  155  avg=  144  max=  155  (us, n=20)
1195                                              min=   70  p50=   70  p95=   71  avg=   70  max=   71  (us, n=20)
11950                                             min=  143  p50=  143  p95=  148  avg=  143  max=  148  (us, n=20)
11951                                             min=  143  p50=  143  p95=  145  avg=  143  max=  145  (us, n=20)
11952                                             min=  143  p50=  143  p95=  150  avg=  144  max=  150  (us, n=20)
11954                                             min=12864  p50=13527  p95=14340  avg=13535  max=14340  (us, n=20)
11955                                             min=12668  p50=13354  p95=14095  avg=13381  max=14095  (us, n=20)
11956                                             min=12880  p50=13691  p95=15591  avg=13710  max=15591  (us, n=20)
11957                                             min=12717  p50=13204  p95=16528  avg=13373  max=16528  (us, n=20)
11958                                             min=13060  p50=13568  p95=15433  avg=13627  max=15433  (us, n=20)
11959                                             min=12389  p50=13311  p95=14055  avg=13151  max=14055  (us, n=20)
1196                                              min=   73  p50=   74  p95=   82  avg=   74  max=   82  (us, n=20)
11960                                             min=12167  p50=12788  p95=13330  avg=12732  max=13330  (us, n=20)
11961                                             min=11849  p50=13165  p95=14224  avg=12966  max=14224  (us, n=20)
1197                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1198                                              min=   74  p50=   74  p95=  102  avg=   76  max=  102  (us, n=20)
1199                                              min=   66  p50=   70  p95=  102  avg=   77  max=  102  (us, n=20)
1200                                              min=   70  p50=   71  p95=  114  avg=   73  max=  114  (us, n=20)
1201                                              min=   75  p50=   75  p95=  159  avg=   85  max=  159  (us, n=20)
1202                                              min=   64  p50=   65  p95=   70  avg=   65  max=   70  (us, n=20)
1203                                              min=   79  p50=   80  p95=  106  avg=   82  max=  106  (us, n=20)
1204                                              min=   59  p50=   60  p95=   80  avg=   62  max=   80  (us, n=20)
1205                                              min=   75  p50=   75  p95=  161  avg=   85  max=  161  (us, n=20)
1206                                              min=   72  p50=   73  p95=   81  avg=   73  max=   81  (us, n=20)
1207                                              min=   55  p50=   55  p95=  118  avg=   65  max=  118  (us, n=20)
1208                                              min=   73  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1209                                              min=   75  p50=   75  p95=  160  avg=   80  max=  160  (us, n=20)
1210                                              min=   72  p50=   72  p95=   76  avg=   72  max=   76  (us, n=20)
1211                                              min=   64  p50=   64  p95=   64  avg=   64  max=   64  (us, n=20)
1212                                              min=   67  p50=   68  p95=   72  avg=   67  max=   72  (us, n=20)
1213                                              min=   74  p50=   75  p95=   96  avg=   79  max=   96  (us, n=20)
1214                                              min=   75  p50=   75  p95=   97  avg=   77  max=   97  (us, n=20)
1215                                              min=   66  p50=   67  p95=   69  avg=   67  max=   69  (us, n=20)
1216                                              min=   69  p50=   69  p95=  145  avg=   79  max=  145  (us, n=20)
1217                                              min=   66  p50=   66  p95=   74  avg=   67  max=   74  (us, n=20)
1218                                              min=   69  p50=   70  p95=  149  avg=   80  max=  149  (us, n=20)
1219                                              min=   68  p50=   69  p95=   69  avg=   68  max=   69  (us, n=20)
1220                                              min=   74  p50=   74  p95=  157  avg=   85  max=  157  (us, n=20)
1221                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
1222                                              min=   71  p50=   72  p95=   76  avg=   71  max=   76  (us, n=20)
1223                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1224                                              min=   73  p50=   73  p95=  100  avg=   75  max=  100  (us, n=20)
1225                                              min=   64  p50=   64  p95=   91  avg=   65  max=   91  (us, n=20)
1226                                              min=   72  p50=   72  p95=   72  avg=   72  max=   72  (us, n=20)
1227                                              min=   68  p50=   68  p95=   93  avg=   72  max=   93  (us, n=20)
1228                                              min=   58  p50=   59  p95=   80  avg=   61  max=   80  (us, n=20)
1229                                              min=   72  p50=   72  p95=  110  avg=   74  max=  110  (us, n=20)
1230                                              min=   73  p50=   73  p95=  121  avg=   75  max=  121  (us, n=20)
1231                                              min=   73  p50=   73  p95=  161  avg=   83  max=  161  (us, n=20)
1232                                              min=   70  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1233                                              min=   70  p50=   70  p95=  154  avg=   80  max=  154  (us, n=20)
1234                                              min=   69  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1235                                              min=   67  p50=   68  p95=  138  avg=   72  max=  138  (us, n=20)
1236                                              min=   78  p50=   78  p95=   80  avg=   78  max=   80  (us, n=20)
1237                                              min=   66  p50=   66  p95=   82  avg=   67  max=   82  (us, n=20)
1238                                              min=   69  p50=   70  p95=   95  avg=   72  max=   95  (us, n=20)
1239                                              min=   73  p50=   73  p95=   98  avg=   75  max=   98  (us, n=20)
1240                                              min=   56  p50=   56  p95=   59  avg=   56  max=   59  (us, n=20)
1241                                              min=   73  p50=   73  p95=   84  avg=   74  max=   84  (us, n=20)
