loaded dump dir: ../../../src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
287                                               min= 1182  p50= 1193  p95= 1202  avg= 1191  max= 1202  (us, n=20)
288                                               min= 1169  p50= 1176  p95= 1321  avg= 1183  max= 1321  (us, n=20)
289                                               min=30864  p50=32022  p95=34337  avg=32176  max=34337  (us, n=20)
29                                                min=  771  p50=  773  p95=  784  avg=  774  max=  784  (us, n=20)
290                                               min= 1155  p50= 1159  p95= 1452  avg= 1238  max= 1452  (us, n=20)
292                                               min=30690  p50=31318  p95=35163  avg=31517  max=35163  (us, n=20)
29270                                             min= 1300  p50= 1345  p95= 1492  avg= 1362  max= 1492  (us, n=20)
293                                               min=30738  p50=31460  p95=33514  avg=31660  max=33514  (us, n=20)
294                                               min=30333  p50=30962  p95=33654  avg=31210  max=33654  (us, n=20)
296                                               min= 1151  p50= 1167  p95= 1397  avg= 1210  max= 1397  (us, n=20)
297                                               min= 1148  p50= 1206  p95= 1371  avg= 1208  max= 1371  (us, n=20)
298                                               min=30942  p50=31822  p95=36297  avg=32274  max=36297  (us, n=20)
299                                               min= 1153  p50= 1161  p95= 1381  avg= 1180  max= 1381  (us, n=20)
3                                                 min=  387  p50=  390  p95=  413  avg=  391  max=  413  (us, n=20)
30                                                min=  320  p50=  320  p95=  323  avg=  320  max=  323  (us, n=20)
301                                               min=30187  p50=32023  p95=35175  avg=31945  max=35175  (us, n=20)
302                                               min=30391  p50=31719  p95=33290  avg=31691  max=33290  (us, n=20)
303                                               min=30906  p50=31763  p95=35679  avg=31989  max=35679  (us, n=20)
305                                               min= 1159  p50= 1297  p95= 1469  avg= 1290  max= 1469  (us, n=20)
306                                               min= 1159  p50= 1169  p95= 1304  avg= 1201  max= 1304  (us, n=20)
30658                                             min= 3981  p50= 4073  p95= 4703  avg= 4123  max= 4703  (us, n=20)
30662                                             min= 1054  p50= 1071  p95= 1240  avg= 1081  max= 1240  (us, n=20)
30666                                             min= 1060  p50= 1079  p95= 1327  avg= 1095  max= 1327  (us, n=20)
30669                                             min=65081  p50=69339  p95=76911  avg=69862  max=76911  (us, n=20)
30670                                             min=28802  p50=30036  p95=31615  avg=30130  max=31615  (us, n=20)
30671                                             min=23614  p50=24295  p95=25370  avg=24259  max=25370  (us, n=20)
30673                                             min= 4078  p50= 4145  p95= 5816  avg= 4274  max= 5816  (us, n=20)
30674                                             min= 4074  p50= 4346  p95= 5292  avg= 4377  max= 5292  (us, n=20)
30675                                             min= 2946  p50= 3134  p95= 3419  avg= 3165  max= 3419  (us, n=20)
